[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0002954323249867003]
[2.9250000000000003, 0.0031386610769024294]
[2.975, 0.009099502323498798]
[3.0250000000000004, 0.042393800054779066]
[3.075, 0.12588322936154764]
[3.125, 0.29489963990749074]
[3.1750000000000003, 0.5301114375280668]
[3.225, 0.8649516288446566]
[3.2750000000000004, 1.279055546143068]
[3.325, 1.6224624450508878]
[3.375, 2.0031109281631996]
[3.4250000000000003, 2.2941973536205924]
[3.475, 2.521723204266648]
[3.5250000000000004, 2.6219838909505593]
[3.575, 2.6507053806900416]
[3.625, 2.663499361408088]
[3.6750000000000003, 2.6324541946017006]
[3.725, 2.5042940917456615]
[3.7750000000000004, 2.425671920618601]
[3.825, 2.344310892330421]
[3.875, 2.231038198130364]
[3.9250000000000003, 2.0773293339335357]
[3.975, 1.966781744944789]
[4.025, 1.8328819474155393]
[4.075, 1.735822959511867]
[4.125, 1.6335029262461949]
[4.175000000000001, 1.5506282122485893]
