[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.0007738723116488558]
[3.125, 0.006242583401936711]
[3.1750000000000003, 0.031439090729310545]
[3.225, 0.10240689834871687]
[3.2750000000000004, 0.25853733774614834]
[3.325, 0.5537482173588064]
[3.375, 1.007114909441575]
[3.4250000000000003, 1.4370908685410206]
[3.475, 1.982621201691575]
[3.5250000000000004, 2.424918833476056]
[3.575, 2.813315997392097]
[3.625, 3.0317788351543986]
[3.6750000000000003, 3.125442708500083]
[3.725, 3.1400521004781807]
[3.7750000000000004, 3.1048259300496284]
[3.825, 2.9357479424334896]
[3.875, 2.766416133056503]
[3.9250000000000003, 2.5642009314514898]
[3.975, 2.4167976493636605]
[4.025, 2.2156259724384055]
[4.075, 2.020811002084904]
[4.125, 1.8751808476072709]
[4.175000000000001, 1.709466936479283]
[4.225, 1.5849382763388355]
