[0.025, 0.0]
[0.07500000000000001, 0.0]
[0.125, 0.0]
[0.17500000000000002, 0.0]
[0.225, 0.0]
[0.275, 0.0]
[0.32500000000000007, 0.0]
[0.375, 0.0]
[0.42500000000000004, 0.0]
[0.475, 0.0]
[0.525, 0.0]
[0.5750000000000001, 0.0]
[0.625, 0.0]
[0.675, 0.0]
[0.7250000000000001, 0.0]
[0.775, 0.0]
[0.8250000000000001, 0.0]
[0.875, 0.0]
[0.925, 0.0]
[0.9750000000000001, 0.0]
[1.025, 0.0]
[1.0750000000000002, 0.0]
[1.125, 0.0]
[1.1750000000000003, 0.0]
[1.225, 0.0]
[1.275, 0.0]
[1.3250000000000002, 0.0]
[1.375, 0.0]
[1.4250000000000003, 0.0]
[1.475, 0.0]
[1.525, 0.0]
[1.5750000000000002, 0.0]
[1.625, 0.0]
[1.6750000000000003, 0.0]
[1.725, 0.0]
[1.775, 0.0]
[1.8250000000000002, 0.0]
[1.875, 0.0]
[1.9250000000000003, 0.0]
[1.975, 0.0]
[2.0250000000000004, 0.0]
[2.075, 0.0]
[2.125, 0.0]
[2.175, 0.0]
[2.225, 0.0]
[2.2750000000000004, 0.0]
[2.325, 0.0]
[2.375, 0.0]
[2.4250000000000003, 0.0]
[2.475, 0.0]
[2.5250000000000004, 0.0]
[2.575, 0.0]
[2.625, 0.0]
[2.6750000000000003, 0.0]
[2.725, 0.0]
[2.7750000000000004, 0.0]
[2.825, 0.0]
[2.875, 0.0]
[2.9250000000000003, 0.0]
[2.975, 0.0]
[3.0250000000000004, 0.0]
[3.075, 0.0003869361558244279]
[3.125, 0.003495846705084558]
[3.1750000000000003, 0.020314489394323756]
[3.225, 0.08319095861280201]
[3.2750000000000004, 0.2282080454885819]
[3.325, 0.4642847170612829]
[3.375, 0.8208734898824225]
[3.4250000000000003, 1.256390651718119]
[3.475, 1.713977440124155]
[3.5250000000000004, 2.0820138800872683]
[3.575, 2.367564880647944]
[3.625, 2.566013618357595]
[3.6750000000000003, 2.714498866900101]
[3.725, 2.69842201969473]
[3.7750000000000004, 2.6261759309405748]
[3.825, 2.5150615439125796]
[3.875, 2.3874261887982358]
[3.9250000000000003, 2.2427489288776608]
[3.975, 2.0712881725089094]
[4.025, 1.9350919995523272]
[4.075, 1.7655945543083817]
[4.125, 1.6208694377403137]
[4.175000000000001, 1.5026282644437876]
[4.225, 1.4051686486517903]
